,sex,age,area,q1,q3,q6,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,target_q7
0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,5.0,2.0,6.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,7.0,5.0,9.0,"강이나 계곡, 유원지 등"
1,1.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,6.0,5.0,해수욕장이나 바다
2,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,3.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,3.0,해수욕장이나 바다
3,2.0,2.0,6.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,6.0,3.0,2.0,1.0,1.0,1.0,"강이나 계곡, 유원지 등"
4,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,"강이나 계곡, 유원지 등"
5,2.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,"강이나 계곡, 유원지 등"
6,2.0,3.0,6.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,5.0,1.0,해수욕장이나 바다
7,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,해수욕장이나 바다
8,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,문화유적지
9,2.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,1.0,해수욕장이나 바다
10,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,6.0,3.0,6.0,1.0,2.0,1.0,2.0,1.0,7.0,5.0,1.0,산이나 국립공원
11,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,5.0,9.0,기타
12,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,"강이나 계곡, 유원지 등"
13,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,3.0,2.0,6.0,2.0,1.0,1.0,3.0,9.0,해수욕장이나 바다
14,1.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,6.0,1.0,3.0,6.0,2.0,3.0,1.0,3.0,1.0,"강이나 계곡, 유원지 등"
15,1.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,"강이나 계곡, 유원지 등"
16,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,7.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,해수욕장이나 바다
17,2.0,3.0,6.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,2.0,7.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,기타
18,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,5.0,4.0,산이나 국립공원
19,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,6.0,2.0,2.0,1.0,6.0,9.0,산이나 국립공원
20,2.0,2.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,해수욕장이나 바다
21,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,온천 휴양지
22,2.0,2.0,6.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,7.0,1.0,해수욕장이나 바다
23,1.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,3.0,1.0,2.0,6.0,2.0,1.0,1.0,5.0,1.0,해수욕장이나 바다
24,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,3.0,3.0,1.0,5.0,1.0,"강이나 계곡, 유원지 등"
25,1.0,2.0,6.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,산이나 국립공원
